,Input Parameters,,Output parameter
Sl.No.,Density of Fluid (kg/m3),Bulk Modulus of Fluid (Pa),Sound wave speed in fluid (m/s)
345,1.08E+03,1.24E+09,1002.51
346,1.62E+03,1.05E+09,753.3
347,9.15E+02,1.25E+09,1092.9
348,1.45E+03,2.17E+09,1139.6
349,1.82E+03,1.22E+09,766.28
350,7.83E+02,1.58E+09,1320.13
351,1.20E+03,2.17E+09,1257.86
352,6.34E+02,1.19E+09,1282.05
353,6.64E+02,1.54E+09,1418.44
354,5.59E+02,1.77E+09,1646.09
355,5.82E+02,1.74E+09,1606.43
356,1.43E+03,1.84E+09,1058.2
357,1.09E+03,1.29E+09,1017.81
358,1.44E+03,1.50E+09,952.38
359,1.78E+03,2.02E+09,995.02
360,1.64E+03,2.21E+09,1084.01
361,1.96E+03,1.57E+09,838.57
362,1.66E+03,1.34E+09,838.57
363,1.90E+03,1.53E+09,838.57
364,1.60E+03,1.34E+09,860.22
365,8.51E+02,1.30E+09,1149.43
366,1.57E+03,1.11E+09,788.95
367,1.53E+03,1.15E+09,813.01
368,1.65E+03,1.60E+09,919.54
369,1.61E+03,1.04E+09,753.3
370,9.50E+02,2.20E+09,1418.44
371,1.25E+03,1.12E+09,888.89
372,1.65E+03,1.14E+09,779.73
373,1.34E+03,1.91E+09,1111.11
374,1.93E+03,1.85E+09,919.54
375,7.24E+02,1.41E+09,1307.19
376,1.86E+03,1.04E+09,701.75
377,1.62E+03,9.31E+08,709.22
378,9.01E+02,1.43E+09,1179.94
379,1.43E+03,2.01E+09,1111.11
380,1.17E+03,1.54E+09,1066.67
381,6.59E+02,1.06E+09,1179.94
382,1.31E+03,2.03E+09,1169.59
383,1.95E+03,1.83E+09,907.03
384,1.14E+03,1.54E+09,1084.01
385,1.37E+03,1.66E+09,1025.64
386,6.31E+02,1.65E+09,1498.13
387,7.68E+02,1.79E+09,1418.44
388,7.11E+02,1.81E+09,1481.48
389,5.17E+02,1.18E+09,1403.51
390,8.80E+02,2.03E+09,1418.44
391,8.14E+02,1.19E+09,1129.94
392,1.01E+03,1.49E+09,1129.94
393,6.67E+02,1.25E+09,1269.84
394,2.00E+03,1.30E+09,753.3
395,1.25E+03,9.32E+08,808.08
396,1.06E+03,2.20E+09,1346.8
397,8.45E+02,1.64E+09,1294.5
398,1.02E+03,1.56E+09,1149.43
399,1.07E+03,1.64E+09,1149.43
400,1.89E+03,1.38E+09,803.21
401,1.22E+03,1.38E+09,995.02
402,1.40E+03,2.28E+09,1190.48
403,4.67E+02,1.57E+09,1709.4
404,1.37E+03,1.95E+09,1120.45
405,1.66E+03,1.84E+09,987.65
406,1.47E+03,2.02E+09,1092.9
407,1.27E+03,1.30E+09,945.63
408,1.73E+03,1.31E+09,813.01
409,1.94E+03,1.91E+09,925.93
410,9.43E+02,1.17E+09,1041.67
411,1.69E+03,2.07E+09,1033.59
412,8.99E+02,1.15E+09,1058.2
413,4.83E+02,2.24E+09,2051.28
414,6.05E+02,1.92E+09,1646.09
415,9.66E+02,1.11E+09,1002.51
416,9.31E+02,2.10E+09,1403.51
417,4.88E+02,2.21E+09,2020.2
418,7.10E+02,1.70E+09,1433.69
419,1.14E+03,1.47E+09,1058.2
420,1.64E+03,1.53E+09,900.9
421,1.51E+03,1.89E+09,1041.67
422,1.56E+03,1.28E+09,849.26
423,1.17E+03,9.59E+08,849.26
424,1.88E+03,2.23E+09,1017.81
425,1.98E+03,2.29E+09,1002.51
426,1.90E+03,2.00E+09,959.23
427,1.17E+03,2.29E+09,1307.19
428,1.85E+03,1.59E+09,865.8
429,1.06E+03,1.10E+09,952.38
430,1.39E+03,1.56E+09,987.65
431,1.32E+03,1.94E+09,1129.94
432,1.76E+03,1.85E+09,959.23
433,8.99E+02,2.13E+09,1433.69
434,1.48E+03,1.97E+09,1075.27
435,1.39E+03,1.77E+09,1058.2
436,1.47E+03,1.30E+09,877.19
437,9.37E+02,1.38E+09,1139.6
438,9.71E+02,2.07E+09,1360.54
439,7.50E+02,1.45E+09,1294.5
440,6.15E+02,1.03E+09,1212.12
441,9.01E+02,2.11E+09,1433.69
442,1.01E+03,1.52E+09,1149.43
443,1.29E+03,1.16E+09,888.89
444,1.99E+03,9.26E+08,2424.24
445,5.03E+02,1.82E+09,1754.39
446,1.55E+03,1.43E+09,900.9
447,1.85E+03,1.44E+09,823.05
448,1.79E+03,1.53E+09,865.8
449,6.44E+02,1.63E+09,1481.48
450,1.93E+03,1.33E+09,779.73
451,1.14E+03,1.58E+09,1101.93
452,1.81E+03,9.29E+08,673.4
453,1.79E+03,1.16E+09,753.3
454,1.01E+03,1.34E+09,1075.27
455,1.43E+03,1.95E+09,1092.9
456,1.79E+03,1.72E+09,919.54
457,4.92E+02,1.89E+09,1826.48
458,5.78E+02,2.03E+09,1731.6
459,1.04E+03,2.10E+09,1320.13
460,6.90E+02,1.08E+09,1169.59
461,5.13E+02,1.83E+09,1754.39
462,1.66E+03,1.96E+09,1017.81
463,9.64E+02,1.89E+09,1307.19
464,1.72E+03,1.76E+09,945.63
465,7.27E+02,9.73E+08,1084.01
466,1.50E+03,1.19E+09,833.33
467,1.81E+03,1.38E+09,818
468,1.63E+03,1.81E+09,987.65
469,8.14E+02,1.22E+09,1139.6
470,1.01E+03,1.03E+09,938.97
471,1.02E+03,2.27E+09,1388.89
472,8.72E+02,1.21E+09,1101.93
473,9.79E+02,2.28E+09,1418.44
474,5.94E+02,1.76E+09,1606.43
475,1.16E+03,1.26E+09,980.39
476,1.16E+03,1.63E+09,1111.11
477,5.05E+02,1.90E+09,1801.8
478,1.44E+03,1.28E+09,883
479,5.52E+02,1.08E+09,1307.19
480,7.21E+02,1.68E+09,1418.44
481,1.51E+03,1.22E+09,838.57
482,1.31E+03,1.35E+09,945.63
483,4.69E+02,2.26E+09,2083.33
484,9.04E+02,1.35E+09,1139.6
485,1.04E+03,2.23E+09,1360.54
486,6.86E+02,1.49E+09,1374.57
487,5.75E+02,9.34E+08,1190.48
488,1.17E+03,1.35E+09,1002.51
489,1.03E+03,1.13E+09,980.39
490,1.73E+03,2.29E+09,1075.27
491,1.29E+03,1.54E+09,1025.64
492,1.72E+03,1.67E+09,925.93
493,1.17E+03,1.28E+09,980.39
494,4.82E+02,2.14E+09,2020.2
495,4.68E+02,1.06E+09,1403.51
496,7.16E+02,2.06E+09,1568.63
497,1.02E+03,1.51E+09,1129.94
498,1.57E+03,2.19E+09,1101.93
499,7.06E+02,1.65E+09,1418.44
500,8.89E+02,2.12E+09,1433.69
501,1.45E+03,1.41E+09,919.54
502,9.02E+02,1.47E+09,1190.48
503,9.56E+02,1.75E+09,1257.86
504,6.99E+02,2.18E+09,1646.09
505,1.06E+03,1.10E+09,952.38
506,1.84E+03,9.78E+08,683.76
507,1.83E+03,1.47E+09,838.57
508,1.07E+03,1.74E+09,1190.48
509,1.50E+03,2.19E+09,1129.94
510,8.48E+02,1.33E+09,1169.59
511,1.92E+03,1.67E+09,871.46
512,1.42E+03,2.00E+09,1111.11
513,7.79E+02,1.37E+09,1234.57
514,6.29E+02,1.05E+09,1212.12
515,1.33E+03,1.53E+09,1002.51
516,8.82E+02,9.60E+08,973.24
517,5.70E+02,1.85E+09,1666.67
518,7.04E+02,1.07E+09,1149.43
519,5.36E+02,1.20E+09,1388.89
520,1.51E+03,1.65E+09,980.39
521,1.66E+03,1.79E+09,966.18
522,1.70E+03,1.44E+09,860.22
523,8.68E+02,1.76E+09,1320.13
524,1.84E+03,2.09E+09,995.02
525,1.40E+03,1.89E+09,1084.01
526,4.82E+02,1.46E+09,1626.02
527,9.90E+02,1.71E+09,1223.24
528,1.28E+03,1.26E+09,932.4
529,1.43E+03,1.92E+09,1084.01
530,1.15E+03,1.39E+09,1033.59
531,1.71E+03,1.03E+09,728.6
532,6.83E+02,1.34E+09,1307.19
533,1.96E+03,1.33E+09,770.71
534,1.74E+03,9.52E+08,690.85
535,9.84E+02,1.16E+09,1017.81
536,1.41E+03,2.11E+09,1139.6
537,9.28E+02,1.83E+09,1307.19
538,5.97E+02,2.10E+09,1731.6
539,1.26E+03,1.29E+09,945.63
540,1.73E+03,2.16E+09,1041.67
541,1.64E+03,1.21E+09,803.21
542,1.92E+03,2.25E+09,1010.1
543,9.74E+02,1.49E+09,1159.42
544,1.06E+03,1.24E+09,1010.1
545,6.92E+02,2.05E+09,1606.43
546,9.74E+02,1.42E+09,1129.94
547,1.31E+03,1.61E+09,1033.59
548,1.31E+03,1.95E+09,1139.6
549,7.07E+02,2.07E+09,1587.3
550,6.40E+02,1.46E+09,1403.51
551,1.07E+03,1.05E+09,925.93
552,1.74E+03,1.29E+09,803.21
553,7.45E+02,2.01E+09,1532.57
554,1.23E+03,2.21E+09,1246.11
555,6.55E+02,1.70E+09,1498.13
556,1.79E+03,2.21E+09,1041.67
557,1.64E+03,1.74E+09,966.18
558,1.33E+03,2.28E+09,1223.24
559,1.06E+03,1.97E+09,1269.84
560,1.21E+03,1.18E+09,919.54
561,1.83E+03,1.63E+09,883
562,1.85E+03,1.80E+09,925.93
563,1.23E+03,2.12E+09,1223.24
564,1.28E+03,1.75E+09,1092.9
565,1.86E+03,2.30E+09,1041.67
566,1.35E+03,1.10E+09,843.88
567,1.65E+03,1.32E+09,838.57
568,1.48E+03,1.58E+09,966.18
569,1.18E+03,1.10E+09,900.9
570,7.98E+02,1.23E+09,1159.42
571,1.39E+03,1.17E+09,860.22
572,7.44E+02,1.85E+09,1465.2
573,7.64E+02,1.37E+09,1246.11
574,1.79E+03,2.01E+09,995.02
575,6.53E+02,1.67E+09,1481.48
576,1.45E+03,1.24E+09,865.8
577,1.13E+03,1.87E+09,1201.2
578,1.40E+03,9.88E+08,784.31
579,1.60E+03,1.71E+09,966.18
580,9.27E+02,2.29E+09,1465.2
581,5.26E+02,1.42E+09,1532.57
582,1.75E+03,1.69E+09,919.54
583,1.03E+03,2.20E+09,1360.54
584,1.48E+03,1.28E+09,871.46
585,1.84E+03,2.07E+09,995.02
586,8.82E+02,1.16E+09,1075.27
587,2.00E+03,2.13E+09,966.18
588,1.74E+03,1.31E+09,808.08
589,1.68E+03,2.09E+09,1041.67
590,1.47E+03,2.03E+09,1101.93
591,1.30E+03,1.18E+09,894.85
592,1.06E+03,2.27E+09,1360.54
593,1.73E+03,1.27E+09,803.21
594,1.38E+03,1.99E+09,1120.45
595,1.66E+03,2.04E+09,1033.59
596,1.98E+03,1.61E+09,843.88
597,1.67E+03,2.18E+09,1066.67
